accurate,algorithms,artificial,branches,called,clean,combines,complex,computer,computers,data,datasets,deep,documents,domain,enables,essential,human,importance,intelligence,key,knowledge,labeled,language,learn,learning,machine,measures,models,modern,natural,networks,neural,nlp,patterns,popular,predictions,preprocessing,problems,processing,programming,python,require,science,sentences,smaller,solve,splits,statistics,step,supervised,technology,text,tokenization,tokens,train,transforming,understand,units,uses,vectorization,vision,words
0.0,0.0,0.40597175621109777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40597175621109777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4727133967207312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4727133967207312,0.0,0.0,0.0,0.0,0.4727133967207312,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.4756275313293976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3238715704604239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4756275313293976,0.29367549614042987,0.3608285786057971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4756275313293976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35858110998543935,0.0,0.0,0.0,0.0,0.0,0.35858110998543935,0.0,0.35858110998543935,0.0,0.0,0.0,0.0,0.0,0.5440656972454696,0.0,0.0,0.0,0.0,0.0,0.0,0.3079536225856435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3079536225856435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35858110998543935,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2911179000725459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3243373845396449,0.0,0.2639756049523715,0.3243373845396449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4275265283101565,0.0,0.0,0.0,0.0,0.3671647487228831,0.4275265283101565,0.0,0.3671647487228831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680741005424776,0.0,0.0,0.0,0.0,0.3680741005424776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22726679381054044,0.0,0.0,0.0,0.0,0.0,0.3680741005424776,0.3680741005424776,0.0,0.0,0.0,0.0,0.0,0.3680741005424776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680741005424776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3680741005424776,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.4103468477656756,0.0,0.0,0.0,0.2794196493375689,0.0,0.0,0.0,0.4103468477656756,0.0,0.0,0.0,0.0,0.0,0.0,0.4103468477656756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35241063950962365,0.0,0.0,0.35241063950962365,0.0,0.0,0.0,0.0,0.4103468477656756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40653615486326555,0.0,0.0,0.0,0.0,0.0,0.0,0.30841331346226825,0.0,0.0,0.0,0.0,0.0,0.0,0.34913797217947273,0.0,0.0,0.0,0.0,0.0,0.0,0.40653615486326555,0.0,0.34913797217947273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40653615486326555,0.0,0.0,0.40653615486326555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4029768148339329,0.0,0.0,0.0,0.0,0.4029768148339329,0.0,0.0,0.0,0.0,0.2744011338338996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24881742168849666,0.3057130669059574,0.0,0.3460811696164722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4029768148339329,0.0,0.0,0.0,0.0,0.0,0.4029768148339329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,0.3779644730092272,0.0,0.0,0.0,0.0,0.0,0.3779644730092272,0.3779644730092272,0.0,0.0,0.0,0.3779644730092272,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.0,0.4472135954999579
